Year,State,Metric,Age Range,"Events per 1,000 women"
1992,GA,Abortion Rate,25-29,30.0
1996,GA,Abortion Rate,25-29,27.9
2000,GA,Abortion Rate,25-29,25.0
2005,GA,Abortion Rate,25-29,25.2
2006,GA,Abortion Rate,25-29,25.5
2007,GA,Abortion Rate,25-29,25.2
2008,GA,Abortion Rate,25-29,29.5
2009,GA,Abortion Rate,25-29,27.7
2010,GA,Abortion Rate,25-29,26.1
2011,GA,Abortion Rate,25-29,25.7
2012,GA,Abortion Rate,25-29,25.1
2013,GA,Abortion Rate,25-29,25.0
2014,GA,Abortion Rate,25-29,23.9
2015,GA,Abortion Rate,25-29,24.6
2016,GA,Abortion Rate,25-29,25.7
1988,HI,Abortion Rate,25-29,54.6
1992,HI,Abortion Rate,25-29,57.0
1996,HI,Abortion Rate,25-29,35.2
2000,HI,Abortion Rate,25-29,28.9
2005,HI,Abortion Rate,25-29,26.9
2006,HI,Abortion Rate,25-29,26.0
2007,HI,Abortion Rate,25-29,28.0
2008,HI,Abortion Rate,25-29,25.2
2009,HI,Abortion Rate,25-29,28.6
2010,HI,Abortion Rate,25-29,27.6
2011,HI,Abortion Rate,25-29,26.8
2012,HI,Abortion Rate,25-29,25.1
2013,HI,Abortion Rate,25-29,22.7
2014,HI,Abortion Rate,25-29,19.4
2015,HI,Abortion Rate,25-29,18.1
2016,HI,Abortion Rate,25-29,16.5
1988,ID,Abortion Rate,25-29,14.9
1992,ID,Abortion Rate,25-29,14.6
1996,ID,Abortion Rate,25-29,12.9
2000,ID,Abortion Rate,25-29,13.5
2005,ID,Abortion Rate,25-29,13.3
2006,ID,Abortion Rate,25-29,11.9
2007,ID,Abortion Rate,25-29,12.5
2008,ID,Abortion Rate,25-29,10.5
2009,ID,Abortion Rate,25-29,10.2
2010,ID,Abortion Rate,25-29,10.3
2011,ID,Abortion Rate,25-29,10.4
2012,ID,Abortion Rate,25-29,9.9
2013,ID,Abortion Rate,25-29,8.9
2014,ID,Abortion Rate,25-29,8.599999999999998
2015,ID,Abortion Rate,25-29,7.2
2016,ID,Abortion Rate,25-29,8.199999999999998
1988,IL,Abortion Rate,25-29,30.2
1992,IL,Abortion Rate,25-29,30.0
1996,IL,Abortion Rate,25-29,33.3
2000,IL,Abortion Rate,25-29,31.0
2005,IL,Abortion Rate,25-29,27.0
2006,IL,Abortion Rate,25-29,26.9
2007,IL,Abortion Rate,25-29,26.5
2008,IL,Abortion Rate,25-29,27.9
2009,IL,Abortion Rate,25-29,24.8
2010,IL,Abortion Rate,25-29,22.5
2011,IL,Abortion Rate,25-29,22.7
2012,IL,Abortion Rate,25-29,23.3
2013,IL,Abortion Rate,25-29,24.1
2014,IL,Abortion Rate,25-29,23.6
2015,IL,Abortion Rate,25-29,24.7
2016,IL,Abortion Rate,25-29,24.0
1988,IN,Abortion Rate,25-29,18.0
1992,IN,Abortion Rate,25-29,20.4
1996,IN,Abortion Rate,25-29,18.1
2000,IN,Abortion Rate,25-29,17.7
2005,IN,Abortion Rate,25-29,15.4
2006,IN,Abortion Rate,25-29,14.6
2007,IN,Abortion Rate,25-29,14.2
2008,IN,Abortion Rate,25-29,14.0
2009,IN,Abortion Rate,25-29,13.6
2010,IN,Abortion Rate,25-29,13.5
2011,IN,Abortion Rate,25-29,12.4
2012,IN,Abortion Rate,25-29,12.5
2013,IN,Abortion Rate,25-29,12.3
2014,IN,Abortion Rate,25-29,12.9
2015,IN,Abortion Rate,25-29,12.7
2016,IN,Abortion Rate,25-29,12.7
1988,IA,Abortion Rate,25-29,19.7
1992,IA,Abortion Rate,25-29,16.2
1996,IA,Abortion Rate,25-29,14.1
2000,IA,Abortion Rate,25-29,14.4
2005,IA,Abortion Rate,25-29,16.3
2006,IA,Abortion Rate,25-29,16.6
2007,IA,Abortion Rate,25-29,17.1
2008,IA,Abortion Rate,25-29,15.3
2009,IA,Abortion Rate,25-29,14.6
2010,IA,Abortion Rate,25-29,14.6
2011,IA,Abortion Rate,25-29,13.5
2012,IA,Abortion Rate,25-29,11.7
2013,IA,Abortion Rate,25-29,10.7
2014,IA,Abortion Rate,25-29,10.4
2015,IA,Abortion Rate,25-29,11.0
2016,IA,Abortion Rate,25-29,11.4
1988,KS,Abortion Rate,25-29,12.8
1992,KS,Abortion Rate,25-29,14.6
1996,KS,Abortion Rate,25-29,16.6
2000,KS,Abortion Rate,25-29,16.8
2005,KS,Abortion Rate,25-29,16.1
2006,KS,Abortion Rate,25-29,16.1
2007,KS,Abortion Rate,25-29,15.3
2008,KS,Abortion Rate,25-29,14.8
2009,KS,Abortion Rate,25-29,12.8
2010,KS,Abortion Rate,25-29,10.4
2011,KS,Abortion Rate,25-29,10.3
2012,KS,Abortion Rate,25-29,10.5
2013,KS,Abortion Rate,25-29,10.9
2014,KS,Abortion Rate,25-29,10.8
2015,KS,Abortion Rate,25-29,10.5
2016,KS,Abortion Rate,25-29,10.6
1988,KY,Abortion Rate,25-29,11.2
1992,KY,Abortion Rate,25-29,12.7
1996,KY,Abortion Rate,25-29,12.5
2000,KY,Abortion Rate,25-29,11.2
2005,KY,Abortion Rate,25-29,10.2
2006,KY,Abortion Rate,25-29,10.4
2007,KY,Abortion Rate,25-29,9.8
2008,KY,Abortion Rate,25-29,10.7
2009,KY,Abortion Rate,25-29,10.2
2010,KY,Abortion Rate,25-29,9.7
2011,KY,Abortion Rate,25-29,9.8
2012,KY,Abortion Rate,25-29,10.1
2013,KY,Abortion Rate,25-29,8.8
2014,KY,Abortion Rate,25-29,9.5
2015,KY,Abortion Rate,25-29,9.4
2016,KY,Abortion Rate,25-29,8.9
1988,LA,Abortion Rate,25-29,19.7
1992,LA,Abortion Rate,25-29,14.7
1996,LA,Abortion Rate,25-29,17.8
2000,LA,Abortion Rate,25-29,17.6
2005,LA,Abortion Rate,25-29,16.2
2006,LA,Abortion Rate,25-29,18.3
2007,LA,Abortion Rate,25-29,18.9
2008,LA,Abortion Rate,25-29,21.7
2009,LA,Abortion Rate,25-29,19.4
2010,LA,Abortion Rate,25-29,18.0
2011,LA,Abortion Rate,25-29,17.6
2012,LA,Abortion Rate,25-29,17.2
2013,LA,Abortion Rate,25-29,16.3
2014,LA,Abortion Rate,25-29,16.5
2015,LA,Abortion Rate,25-29,16.7
2016,LA,Abortion Rate,25-29,17.1
1988,ME,Abortion Rate,25-29,15.6
1992,ME,Abortion Rate,25-29,21.2
1996,ME,Abortion Rate,25-29,18.4
2000,ME,Abortion Rate,25-29,16.4
2005,ME,Abortion Rate,25-29,17.6
2006,ME,Abortion Rate,25-29,17.5
2007,ME,Abortion Rate,25-29,18.9
2008,ME,Abortion Rate,25-29,18.4
2009,ME,Abortion Rate,25-29,19.4
2010,ME,Abortion Rate,25-29,17.2
2011,ME,Abortion Rate,25-29,15.3
2012,ME,Abortion Rate,25-29,15.9
2013,ME,Abortion Rate,25-29,16.4
2014,ME,Abortion Rate,25-29,16.8
2015,ME,Abortion Rate,25-29,15.7
2016,ME,Abortion Rate,25-29,14.2
1988,MD,Abortion Rate,25-29,42.8
1992,MD,Abortion Rate,25-29,43.9
1996,MD,Abortion Rate,25-29,47.5
2000,MD,Abortion Rate,25-29,52.8
2005,MD,Abortion Rate,25-29,49.3
2006,MD,Abortion Rate,25-29,42.7
2007,MD,Abortion Rate,25-29,36.1
2008,MD,Abortion Rate,25-29,35.3
2009,MD,Abortion Rate,25-29,36.2
2010,MD,Abortion Rate,25-29,37.2
2011,MD,Abortion Rate,25-29,38.7
2012,MD,Abortion Rate,25-29,37.0
2013,MD,Abortion Rate,25-29,33.3
2014,MD,Abortion Rate,25-29,33.4
2015,MD,Abortion Rate,25-29,34.8
2016,MD,Abortion Rate,25-29,35.1
1988,MA,Abortion Rate,25-29,33.7
1992,MA,Abortion Rate,25-29,36.9
1996,MA,Abortion Rate,25-29,36.8
2000,MA,Abortion Rate,25-29,30.7
2005,MA,Abortion Rate,25-29,29.3
2006,MA,Abortion Rate,25-29,30.2
2007,MA,Abortion Rate,25-29,28.8
2008,MA,Abortion Rate,25-29,28.0
2009,MA,Abortion Rate,25-29,27.1
2010,MA,Abortion Rate,25-29,26.7
2011,MA,Abortion Rate,25-29,26.7
2012,MA,Abortion Rate,25-29,24.4
2013,MA,Abortion Rate,25-29,23.0
2014,MA,Abortion Rate,25-29,23.5
2015,MA,Abortion Rate,25-29,24.3
2016,MA,Abortion Rate,25-29,23.5
1988,MI,Abortion Rate,25-29,32.2
1992,MI,Abortion Rate,25-29,30.5
1996,MI,Abortion Rate,25-29,30.9
2000,MI,Abortion Rate,25-29,33.3
2005,MI,Abortion Rate,25-29,30.2
2006,MI,Abortion Rate,25-29,28.6
2007,MI,Abortion Rate,25-29,27.1
2008,MI,Abortion Rate,25-29,27.2
2009,MI,Abortion Rate,25-29,25.5
2010,MI,Abortion Rate,25-29,23.8
2011,MI,Abortion Rate,25-29,23.3
2012,MI,Abortion Rate,25-29,23.7
2013,MI,Abortion Rate,25-29,23.4
2014,MI,Abortion Rate,25-29,24.1
2015,MI,Abortion Rate,25-29,25.1
2016,MI,Abortion Rate,25-29,24.6
1988,MN,Abortion Rate,25-29,18.8
1992,MN,Abortion Rate,25-29,19.0
1996,MN,Abortion Rate,25-29,19.8
2000,MN,Abortion Rate,25-29,19.9
2005,MN,Abortion Rate,25-29,19.8
2006,MN,Abortion Rate,25-29,19.9
2007,MN,Abortion Rate,25-29,19.1
2008,MN,Abortion Rate,25-29,17.9
2009,MN,Abortion Rate,25-29,16.3
2010,MN,Abortion Rate,25-29,15.1
2011,MN,Abortion Rate,25-29,14.8
2012,MN,Abortion Rate,25-29,14.5
2013,MN,Abortion Rate,25-29,13.9
2014,MN,Abortion Rate,25-29,14.0
2015,MN,Abortion Rate,25-29,14.3
2016,MN,Abortion Rate,25-29,15.2
1988,MS,Abortion Rate,25-29,11.7
1992,MS,Abortion Rate,25-29,17.5
1996,MS,Abortion Rate,25-29,19.0
2000,MS,Abortion Rate,25-29,20.0
2005,MS,Abortion Rate,25-29,20.6
2006,MS,Abortion Rate,25-29,20.1
2007,MS,Abortion Rate,25-29,20.4
2008,MS,Abortion Rate,25-29,19.8
2009,MS,Abortion Rate,25-29,20.1
2010,MS,Abortion Rate,25-29,19.0
2011,MS,Abortion Rate,25-29,17.7
2012,MS,Abortion Rate,25-29,17.2
2013,MS,Abortion Rate,25-29,16.3
2014,MS,Abortion Rate,25-29,15.2
2015,MS,Abortion Rate,25-29,15.1
2016,MS,Abortion Rate,25-29,14.1
1988,MO,Abortion Rate,25-29,23.7
1992,MO,Abortion Rate,25-29,21.8
1996,MO,Abortion Rate,25-29,19.0
2000,MO,Abortion Rate,25-29,23.1
2005,MO,Abortion Rate,25-29,18.5
2006,MO,Abortion Rate,25-29,18.2
2007,MO,Abortion Rate,25-29,18.6
2008,MO,Abortion Rate,25-29,18.8
2009,MO,Abortion Rate,25-29,15.8
2010,MO,Abortion Rate,25-29,14.3
2011,MO,Abortion Rate,25-29,13.3
2012,MO,Abortion Rate,25-29,13.4
2013,MO,Abortion Rate,25-29,13.3
2014,MO,Abortion Rate,25-29,11.6
2015,MO,Abortion Rate,25-29,12.6
2016,MO,Abortion Rate,25-29,14.4
1988,MT,Abortion Rate,25-29,15.0
1992,MT,Abortion Rate,25-29,20.4
1996,MT,Abortion Rate,25-29,19.5
2000,MT,Abortion Rate,25-29,16.4
2005,MT,Abortion Rate,25-29,15.4
2006,MT,Abortion Rate,25-29,16.8
2007,MT,Abortion Rate,25-29,15.9
2008,MT,Abortion Rate,25-29,15.6
2009,MT,Abortion Rate,25-29,16.0
2010,MT,Abortion Rate,25-29,15.0
2011,MT,Abortion Rate,25-29,15.2
2012,MT,Abortion Rate,25-29,14.1
2013,MT,Abortion Rate,25-29,13.2
2014,MT,Abortion Rate,25-29,12.6
2015,MT,Abortion Rate,25-29,12.6
2016,MT,Abortion Rate,25-29,12.3
1988,NE,Abortion Rate,25-29,17.0
1992,NE,Abortion Rate,25-29,17.0
1996,NE,Abortion Rate,25-29,15.1
2000,NE,Abortion Rate,25-29,15.3
2005,NE,Abortion Rate,25-29,12.6
2006,NE,Abortion Rate,25-29,12.1
2007,NE,Abortion Rate,25-29,10.2
2008,NE,Abortion Rate,25-29,11.3
2009,NE,Abortion Rate,25-29,9.7
2010,NE,Abortion Rate,25-29,9.0
2011,NE,Abortion Rate,25-29,10.1
2012,NE,Abortion Rate,25-29,10.4
2013,NE,Abortion Rate,25-29,10.5
2014,NE,Abortion Rate,25-29,10.2
2015,NE,Abortion Rate,25-29,11.0
2016,NE,Abortion Rate,25-29,10.8
1988,NV,Abortion Rate,25-29,48.7
1992,NV,Abortion Rate,25-29,50.3
1996,NV,Abortion Rate,25-29,54.9
2000,NV,Abortion Rate,25-29,42.8
2005,NV,Abortion Rate,25-29,34.7
2006,NV,Abortion Rate,25-29,33.5
2007,NV,Abortion Rate,25-29,35.2
2008,NV,Abortion Rate,25-29,32.1
2009,NV,Abortion Rate,25-29,32.0
2010,NV,Abortion Rate,25-29,31.6
2011,NV,Abortion Rate,25-29,29.8
2012,NV,Abortion Rate,25-29,27.5
2013,NV,Abortion Rate,25-29,24.0
2014,NV,Abortion Rate,25-29,31.2
2015,NV,Abortion Rate,25-29,28.2
2016,NV,Abortion Rate,25-29,25.6
1988,NH,Abortion Rate,25-29,22.6
1992,NH,Abortion Rate,25-29,24.2
1996,NH,Abortion Rate,25-29,27.2
2000,NH,Abortion Rate,25-29,25.1
2005,NH,Abortion Rate,25-29,20.2
2006,NH,Abortion Rate,25-29,20.4
2007,NH,Abortion Rate,25-29,19.4
2008,NH,Abortion Rate,25-29,18.4
2009,NH,Abortion Rate,25-29,18.9
2010,NH,Abortion Rate,25-29,18.9
2011,NH,Abortion Rate,25-29,18.9
2012,NH,Abortion Rate,25-29,17.2
2013,NH,Abortion Rate,25-29,15.8
2014,NH,Abortion Rate,25-29,17.6
2015,NH,Abortion Rate,25-29,17.7
2016,NH,Abortion Rate,25-29,17.3
1988,NJ,Abortion Rate,25-29,43.9
1992,NJ,Abortion Rate,25-29,43.4
1996,NJ,Abortion Rate,25-29,53.5
2000,NJ,Abortion Rate,25-29,55.7
2005,NJ,Abortion Rate,25-29,55.7
2006,NJ,Abortion Rate,25-29,53.9
2007,NJ,Abortion Rate,25-29,52.0
2008,NJ,Abortion Rate,25-29,51.0
2009,NJ,Abortion Rate,25-29,47.6
2010,NJ,Abortion Rate,25-29,43.3
2011,NJ,Abortion Rate,25-29,41.2
2012,NJ,Abortion Rate,25-29,43.1
2013,NJ,Abortion Rate,25-29,42.1
2014,NJ,Abortion Rate,25-29,45.8
2015,NJ,Abortion Rate,25-29,47.4
2016,NJ,Abortion Rate,25-29,50.2
1988,NM,Abortion Rate,25-29,27.8
1992,NM,Abortion Rate,25-29,27.5
1996,NM,Abortion Rate,25-29,24.6
2000,NM,Abortion Rate,25-29,26.3
2005,NM,Abortion Rate,25-29,23.9
2006,NM,Abortion Rate,25-29,24.4
2007,NM,Abortion Rate,25-29,24.4
2008,NM,Abortion Rate,25-29,22.5
2009,NM,Abortion Rate,25-29,21.9
2010,NM,Abortion Rate,25-29,20.4
2011,NM,Abortion Rate,25-29,18.6
2012,NM,Abortion Rate,25-29,17.1
2013,NM,Abortion Rate,25-29,15.2
2014,NM,Abortion Rate,25-29,15.3
2015,NM,Abortion Rate,25-29,14.8
2016,NM,Abortion Rate,25-29,15.6
1988,NY,Abortion Rate,25-29,51.7
1992,NY,Abortion Rate,25-29,60.8
1996,NY,Abortion Rate,25-29,55.2
2000,NY,Abortion Rate,25-29,55.7
2005,NY,Abortion Rate,25-29,53.5
2006,NY,Abortion Rate,25-29,52.4
2007,NY,Abortion Rate,25-29,51.0
2008,NY,Abortion Rate,25-29,52.2
2009,NY,Abortion Rate,25-29,50.5
2010,NY,Abortion Rate,25-29,48.4
2011,NY,Abortion Rate,25-29,47.0
2012,NY,Abortion Rate,25-29,44.1
2013,NY,Abortion Rate,25-29,41.3
2014,NY,Abortion Rate,25-29,42.7
2015,NY,Abortion Rate,25-29,42.4
2016,NY,Abortion Rate,25-29,40.9
1988,NC,Abortion Rate,25-29,25.3
1992,NC,Abortion Rate,25-29,24.7
1996,NC,Abortion Rate,25-29,23.5
2000,NC,Abortion Rate,25-29,27.5
2005,NC,Abortion Rate,25-29,25.1
2006,NC,Abortion Rate,25-29,24.6
2007,NC,Abortion Rate,25-29,23.5
2008,NC,Abortion Rate,25-29,22.6
2009,NC,Abortion Rate,25-29,21.8
2010,NC,Abortion Rate,25-29,21.3
2011,NC,Abortion Rate,25-29,19.5
2012,NC,Abortion Rate,25-29,20.4
2013,NC,Abortion Rate,25-29,21.5
2014,NC,Abortion Rate,25-29,21.4
2015,NC,Abortion Rate,25-29,20.9
2016,NC,Abortion Rate,25-29,19.3
1988,ND,Abortion Rate,25-29,10.4
1992,ND,Abortion Rate,25-29,9.4
1996,ND,Abortion Rate,25-29,9.4
2000,ND,Abortion Rate,25-29,10.5
2005,ND,Abortion Rate,25-29,11.3
2006,ND,Abortion Rate,25-29,11.9
2007,ND,Abortion Rate,25-29,10.4
2008,ND,Abortion Rate,25-29,10.8
2009,ND,Abortion Rate,25-29,11.6
2010,ND,Abortion Rate,25-29,10.5
2011,ND,Abortion Rate,25-29,10.0
2012,ND,Abortion Rate,25-29,9.6
2013,ND,Abortion Rate,25-29,9.3
2014,ND,Abortion Rate,25-29,10.8
2015,ND,Abortion Rate,25-29,9.2
2016,ND,Abortion Rate,25-29,10.1
1988,OH,Abortion Rate,25-29,22.9
1992,OH,Abortion Rate,25-29,24.0
1996,OH,Abortion Rate,25-29,25.1
2000,OH,Abortion Rate,25-29,24.3
2005,OH,Abortion Rate,25-29,21.4
2006,OH,Abortion Rate,25-29,20.8
2007,OH,Abortion Rate,25-29,20.9
2008,OH,Abortion Rate,25-29,21.3
2009,OH,Abortion Rate,25-29,19.4
2010,OH,Abortion Rate,25-29,19.2
2011,OH,Abortion Rate,25-29,19.0
2012,OH,Abortion Rate,25-29,17.9
2013,OH,Abortion Rate,25-29,17.0
2014,OH,Abortion Rate,25-29,16.6
2015,OH,Abortion Rate,25-29,16.6
2016,OH,Abortion Rate,25-29,15.4
1988,OK,Abortion Rate,25-29,19.4
1992,OK,Abortion Rate,25-29,17.6
1996,OK,Abortion Rate,25-29,18.1
2000,OK,Abortion Rate,25-29,15.5
2005,OK,Abortion Rate,25-29,15.2
2006,OK,Abortion Rate,25-29,14.4
2007,OK,Abortion Rate,25-29,14.2
2008,OK,Abortion Rate,25-29,13.8
2009,OK,Abortion Rate,25-29,12.7
2010,OK,Abortion Rate,25-29,12.5
2011,OK,Abortion Rate,25-29,11.2
2012,OK,Abortion Rate,25-29,11.3
2013,OK,Abortion Rate,25-29,11.7
2014,OK,Abortion Rate,25-29,10.3
2015,OK,Abortion Rate,25-29,9.3
2016,OK,Abortion Rate,25-29,9.4
1988,OR,Abortion Rate,25-29,28.3
1992,OR,Abortion Rate,25-29,29.4
1996,OR,Abortion Rate,25-29,27.6
2000,OR,Abortion Rate,25-29,30.0
2005,OR,Abortion Rate,25-29,23.3
2006,OR,Abortion Rate,25-29,23.4
2007,OR,Abortion Rate,25-29,24.0
2008,OR,Abortion Rate,25-29,22.1
2009,OR,Abortion Rate,25-29,20.4
2010,OR,Abortion Rate,25-29,19.3
2011,OR,Abortion Rate,25-29,18.7
2012,OR,Abortion Rate,25-29,17.9
2013,OR,Abortion Rate,25-29,17.3
2014,OR,Abortion Rate,25-29,17.7
2015,OR,Abortion Rate,25-29,17.6
2016,OR,Abortion Rate,25-29,17.8
1988,PA,Abortion Rate,25-29,22.3
1992,PA,Abortion Rate,25-29,24.7
1996,PA,Abortion Rate,25-29,23.2
2000,PA,Abortion Rate,25-29,23.9
2005,PA,Abortion Rate,25-29,23.5
2006,PA,Abortion Rate,25-29,24.2
2007,PA,Abortion Rate,25-29,25.7
2008,PA,Abortion Rate,25-29,27.9
2009,PA,Abortion Rate,25-29,26.7
2010,PA,Abortion Rate,25-29,25.1
2011,PA,Abortion Rate,25-29,24.3
2012,PA,Abortion Rate,25-29,23.1
2013,PA,Abortion Rate,25-29,22.5
2014,PA,Abortion Rate,25-29,22.5
2015,PA,Abortion Rate,25-29,23.4
2016,PA,Abortion Rate,25-29,24.6
1988,RI,Abortion Rate,25-29,27.2
1992,RI,Abortion Rate,25-29,31.6
1996,RI,Abortion Rate,25-29,28.8
2000,RI,Abortion Rate,25-29,31.3
2005,RI,Abortion Rate,25-29,31.2
2006,RI,Abortion Rate,25-29,31.5
2007,RI,Abortion Rate,25-29,30.3
2008,RI,Abortion Rate,25-29,30.1
2009,RI,Abortion Rate,25-29,28.3
2010,RI,Abortion Rate,25-29,27.2
2011,RI,Abortion Rate,25-29,26.2
2012,RI,Abortion Rate,25-29,23.6
2013,RI,Abortion Rate,25-29,22.9
2014,RI,Abortion Rate,25-29,23.5
2015,RI,Abortion Rate,25-29,24.9
2016,RI,Abortion Rate,25-29,23.7
1988,SC,Abortion Rate,25-29,22.0
1992,SC,Abortion Rate,25-29,21.3
1996,SC,Abortion Rate,25-29,18.5
2000,SC,Abortion Rate,25-29,20.1
2005,SC,Abortion Rate,25-29,21.2
2006,SC,Abortion Rate,25-29,21.7
2007,SC,Abortion Rate,25-29,22.6
2008,SC,Abortion Rate,25-29,20.9
2009,SC,Abortion Rate,25-29,20.3
2010,SC,Abortion Rate,25-29,20.3
2011,SC,Abortion Rate,25-29,18.6
2012,SC,Abortion Rate,25-29,20.0
2013,SC,Abortion Rate,25-29,18.4
2014,SC,Abortion Rate,25-29,18.0
2015,SC,Abortion Rate,25-29,17.7
2016,SC,Abortion Rate,25-29,17.6
1988,SD,Abortion Rate,25-29,10.1
1992,SD,Abortion Rate,25-29,9.6
1996,SD,Abortion Rate,25-29,8.4
2000,SD,Abortion Rate,25-29,9.7
2005,SD,Abortion Rate,25-29,9.6
2006,SD,Abortion Rate,25-29,8.699999999999998
2007,SD,Abortion Rate,25-29,8.199999999999998
2008,SD,Abortion Rate,25-29,8.3
2009,SD,Abortion Rate,25-29,8.3
2010,SD,Abortion Rate,25-29,7.599999999999999
2011,SD,Abortion Rate,25-29,7.3
2012,SD,Abortion Rate,25-29,8.599999999999998
2013,SD,Abortion Rate,25-29,8.9
2014,SD,Abortion Rate,25-29,8.199999999999998
2015,SD,Abortion Rate,25-29,7.4
2016,SD,Abortion Rate,25-29,7.8
1988,TN,Abortion Rate,25-29,19.5
1992,TN,Abortion Rate,25-29,19.7
1996,TN,Abortion Rate,25-29,18.8
2000,TN,Abortion Rate,25-29,20.7
2005,TN,Abortion Rate,25-29,18.7
2006,TN,Abortion Rate,25-29,20.4
2007,TN,Abortion Rate,25-29,18.8
2008,TN,Abortion Rate,25-29,19.2
2009,TN,Abortion Rate,25-29,18.3
2010,TN,Abortion Rate,25-29,16.9
2011,TN,Abortion Rate,25-29,16.6
2012,TN,Abortion Rate,25-29,16.2
2013,TN,Abortion Rate,25-29,15.9
2014,TN,Abortion Rate,25-29,15.5
2015,TN,Abortion Rate,25-29,14.6
2016,TN,Abortion Rate,25-29,14.1
1988,TX,Abortion Rate,25-29,30.4
1992,TX,Abortion Rate,25-29,29.0
1996,TX,Abortion Rate,25-29,29.0
2000,TX,Abortion Rate,25-29,26.5
2005,TX,Abortion Rate,25-29,26.6
2006,TX,Abortion Rate,25-29,23.5
2007,TX,Abortion Rate,25-29,22.4
2008,TX,Abortion Rate,25-29,22.7
2009,TX,Abortion Rate,25-29,22.2
2010,TX,Abortion Rate,25-29,21.4
2011,TX,Abortion Rate,25-29,19.6
2012,TX,Abortion Rate,25-29,19.4
2013,TX,Abortion Rate,25-29,18.8
2014,TX,Abortion Rate,25-29,15.9
2015,TX,Abortion Rate,25-29,15.5
2016,TX,Abortion Rate,25-29,15.2
1973,US,Abortion Rate,25-29,16.2
1974,US,Abortion Rate,25-29,19.5
1975,US,Abortion Rate,25-29,21.6
1976,US,Abortion Rate,25-29,23.8
1977,US,Abortion Rate,25-29,26.6
1978,US,Abortion Rate,25-29,28.1
1979,US,Abortion Rate,25-29,29.3
1980,US,Abortion Rate,25-29,30.4
1981,US,Abortion Rate,25-29,31.0
1982,US,Abortion Rate,25-29,31.2
1983,US,Abortion Rate,25-29,30.8
1984,US,Abortion Rate,25-29,30.7
1985,US,Abortion Rate,25-29,30.8
1986,US,Abortion Rate,25-29,30.8
1987,US,Abortion Rate,25-29,30.7
1988,US,Abortion Rate,25-29,31.8
1989,US,Abortion Rate,25-29,31.9
1990,US,Abortion Rate,25-29,33.7
1991,US,Abortion Rate,25-29,33.1
1992,US,Abortion Rate,25-29,33.2
1993,US,Abortion Rate,25-29,32.9
1994,US,Abortion Rate,25-29,31.8
1995,US,Abortion Rate,25-29,31.2
1996,US,Abortion Rate,25-29,31.8
1997,US,Abortion Rate,25-29,31.6
1998,US,Abortion Rate,25-29,31.4
1999,US,Abortion Rate,25-29,31.5
2000,US,Abortion Rate,25-29,31.5
2001,US,Abortion Rate,25-29,31.2
2002,US,Abortion Rate,25-29,31.0
2003,US,Abortion Rate,25-29,30.4
2004,US,Abortion Rate,25-29,29.8
2005,US,Abortion Rate,25-29,29.3
2006,US,Abortion Rate,25-29,29.8
2007,US,Abortion Rate,25-29,28.6
2008,US,Abortion Rate,25-29,28.4
2009,US,Abortion Rate,25-29,26.9
2010,US,Abortion Rate,25-29,25.8
2011,US,Abortion Rate,25-29,25.0
2012,US,Abortion Rate,25-29,24.3
2013,US,Abortion Rate,25-29,23.3
2014,US,Abortion Rate,25-29,22.9
2015,US,Abortion Rate,25-29,22.6
2016,US,Abortion Rate,25-29,22.2
1988,UT,Abortion Rate,25-29,14.2
1992,UT,Abortion Rate,25-29,11.5
1996,UT,Abortion Rate,25-29,11.0
2000,UT,Abortion Rate,25-29,9.1
2005,UT,Abortion Rate,25-29,8.699999999999998
2006,UT,Abortion Rate,25-29,8.8
2007,UT,Abortion Rate,25-29,8.699999999999998
2008,UT,Abortion Rate,25-29,8.8
2009,UT,Abortion Rate,25-29,7.9
2010,UT,Abortion Rate,25-29,7.7
2011,UT,Abortion Rate,25-29,7.4
2012,UT,Abortion Rate,25-29,7.1
2013,UT,Abortion Rate,25-29,7.1
2014,UT,Abortion Rate,25-29,6.6
2015,UT,Abortion Rate,25-29,7.1
2016,UT,Abortion Rate,25-29,7.0
1988,VT,Abortion Rate,25-29,23.6
1992,VT,Abortion Rate,25-29,19.9
1996,VT,Abortion Rate,25-29,18.0
2000,VT,Abortion Rate,25-29,17.3
2005,VT,Abortion Rate,25-29,25.0
2006,VT,Abortion Rate,25-29,22.8
2007,VT,Abortion Rate,25-29,21.7
2008,VT,Abortion Rate,25-29,20.4
2009,VT,Abortion Rate,25-29,21.5
2010,VT,Abortion Rate,25-29,22.0
2011,VT,Abortion Rate,25-29,21.2
2012,VT,Abortion Rate,25-29,20.3
2013,VT,Abortion Rate,25-29,20.0
2014,VT,Abortion Rate,25-29,20.1
2015,VT,Abortion Rate,25-29,20.3
2016,VT,Abortion Rate,25-29,20.2
1988,VA,Abortion Rate,25-29,30.7
1992,VA,Abortion Rate,25-29,32.3
1996,VA,Abortion Rate,25-29,29.2
2000,VA,Abortion Rate,25-29,29.4
2005,VA,Abortion Rate,25-29,29.1
2006,VA,Abortion Rate,25-29,30.7
2007,VA,Abortion Rate,25-29,31.8
2008,VA,Abortion Rate,25-29,29.8
2009,VA,Abortion Rate,25-29,28.4
2010,VA,Abortion Rate,25-29,27.7
2011,VA,Abortion Rate,25-29,26.5
2012,VA,Abortion Rate,25-29,26.5
2013,VA,Abortion Rate,25-29,27.5
2014,VA,Abortion Rate,25-29,23.3
2015,VA,Abortion Rate,25-29,21.7
